Shape,Depth/Hops,# Relations,branch_loc,n_hops_shape,not generate,num_nodes,branch,inform replace rating,DA
(X (X (X (X (X (X)))))),5,5,[],[],X,,,,
(X (X) (X (X) (X (X (X))))),4,6,"[0, 1]","[1, 1]",X,,,,
(X (X (X) (X (X (X) (X))))),4,6,"[1, 3]","[1, 1]",X,,,,
(X (X (X (X (X))))),4,4,[],,X,,,,
(X (X) (X (X (X) (X (X))))),4,6,"[0, 2]","[1, 1]",X,,,,
(X (X) (X (X (X (X) (X))))),4,6,"[0, 3]","[1, 1]",X,,,,
(X (X)),1,,,,X,,,,
(X (X) (X)),1,,,,X,,,,
(X (X) (X) (X)),1,,,,X,,,,
(X (X) (X) (X) (X)),1,,,,X,,,,
(X (X) (X) (X) (X) (X)),1,,,,X,,,,
(X (X (X))),2,,[],[],,3,no,no,
(X (X) (X (X))),2,,[0],[1],,4,yes,yes,
(X (X) (X) (X) (X) (X) (X)),1,,,,X,,,,
(X (X) (X) (X (X))),2,,"[0, 0]","[1, 1]",,5,yes,yes,
(X (X) (X) (X) (X) (X) (X) (X)),1,,,,X,,,,
(X (X) (X) (X) (X) (X) (X) (X) (X)),1,,,,X,,,,
(X (X) (X (X) (X))),2,,"[0, 1]","[1, 1]",,5,yes,yes,
(X (X) (X) (X) (X (X))),2,,"[0, 0, 0]","[1, 1, 1]",,6,yes,yes,
(X (X) (X) (X (X) (X))),2,,"[0, 0, 1]","[1, 1, 1]",,6,yes,yes,
(X (X) (X (X)) (X (X))),2,,"[0, 0]","[1, 2]",,6,yes,yes,
(X (X (X)) (X (X))),2,,[0],[2],,5,yes,no,
(X (X) (X) (X) (X) (X (X))),2,,"[0, 0, 0, 0]","[1, 1, 1, 1]",,7,yes,yes,
(X (X) (X) (X (X)) (X (X) (X))),2,,"[0, 0, 0, 1]","[1, 1, 2, 1]",,8,yes,yes,
(X (X) (X) (X) (X) (X) (X (X))),2,,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]",,8,yes,yes,
(X (X) (X (X)) (X (X) (X))),2,,"[0, 0, 1]","[1, 2, 1]",,7,yes,yes,
(X (X) (X) (X) (X (X)) (X (X))),2,,"[0, 0, 0, 0]","[1, 1, 1, 2]",,8,yes,yes,
(X (X) (X) (X (X)) (X (X))),2,,"[0, 0, 0]","[1, 1, 2]",,7,yes,yes,
(X (X) (X) (X) (X (X) (X))),2,,"[0, 0, 0, 1]","[1, 1, 1, 1]",,7,yes,yes,
(X (X) (X) (X) (X (X) (X) (X))),2,,"[0, 0, 0, 1, 1]","[1, 1, 1, 1, 1]",,7,yes,yes,
(X (X) (X) (X) (X (X (X)))),3,,"[0, 0, 0]","[1, 1, 1]",,7,yes,yes,
(X (X) (X) (X) (X) (X (X) (X))),2,,"[0, 0, 0, 0, 1]","[1, 1, 1, 1, 1]",,8,yes,yes,
(X (X (X) (X))),2,,[1],[1],,4,yes,no,
(X (X) (X) (X (X) (X) (X))),2,,"[0, 0, 1, 1]","[1, 1, 1, 1]",,8,yes,yes,
(X (X) (X (X) (X)) (X (X) (X))),2,,,,X,,,,
(X (X (X) (X)) (X (X) (X))),2,,,,X,,,,
(X (X (X)) (X (X)) (X (X))),2,,"[0, 0]","[2, 2]",,7,yes,no,
(X (X) (X) (X (X (X)))),3,,"[0, 0]","[1, 1]",,6,yes,yes,
(X (X) (X (X (X)))),3,,[0],[1],,5,yes,yes,
(X (X (X (X))) (X (X (X)))),3,,[0],[2],,7,yes,no,
(X (X) (X) (X) (X) (X (X)) (X (X))),2,,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 2]",,9,yes,yes,
(X (X (X (X))),3,,[],[],,4,no,no,
